id,title,price,currency,location,date,url,image
63325796,"Продам Коммерческое Помещение под Магазин, Базар ""Fayz Baraka""",266877600,UZS,Алмалык,Сегодня в 06:47,https://www.olx.uz/d/obyavlenie/prodam-kommercheskoe-pomeschenie-pod-magazin-bazar-fayz-baraka-ID4hHWO.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1ajhfi8osal8-UZ/image;s=216x152;q=50
59364186,Продается дом в стиле хай-тек!,2122890000,UZS,Самарканд,06 марта 2026 г.,https://www.olx.uz/d/obyavlenie/prodaetsya-dom-v-stile-hay-tek-ID415kS.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2ss4eix5rwyo2-UZ/image;s=216x152;q=50
63096878,Коммерческий участок — ГОТОВЫЙ ЦЕХ / СКЛАД / ПРОИЗВОДСТВО,3032700000,UZS,Янгиюль,Сегодня в 04:51,https://www.olx.uz/d/obyavlenie/kommercheskiy-uchastok-gotovyy-tseh-sklad-proizvodstvo-ID4gKnA.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/4iz6lgpzqu9m1-UZ/image;s=216x152;q=50
63587796,Голдин ховус Новостройка Кора сарой 1 хона 2 этаж 9 этажом дом,691455600,UZS,"Ташкент, Алмазарский район",Сегодня в 09:41,https://www.olx.uz/d/obyavlenie/goldin-hovus-novostroyka-kora-saroy1-hona2-etazh9-etazhom-dom-ID4iO5C.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/lgfnism9h1451-UZ/image;s=216x152;q=50
63491001,Бюджетный Офис на Учтепе с доступом24/7,3032700,UZS,"Ташкент, Учтепинский район",Сегодня в 09:41,https://www.olx.uz/d/obyavlenie/byudzhetnyy-ofis-na-uchtepe-s-dostupom24-7-ID4ioUp.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/p6qd3mvcepzv2-UZ/image;s=216x152;q=50
63688380,"Квартира Новостройка Коробка Юнус Абад 13, 4/5/8. 91500у.е.",1109968200,UZS,"Ташкент, Юнусабадский район",Сегодня в 09:41,https://www.olx.uz/d/obyavlenie/kvartira-novostroyka-korobka-yunus-abad-13-4-5-8-91500u-e-ID4jefV.html,/app/static/media/no_thumbnail.15f456ec5.svg
63787068,Аренда кафе ишлаб турган!,2500000,UZS,"Ташкент, Яшнабадский район",Сегодня в 09:41,https://www.olx.uz/d/obyavlenie/arenda-kafe-ishlab-turgan-ID4jDWG.html,/app/static/media/no_thumbnail.15f456ec5.svg
57535900,Продаётся квартира,181962000,UZS,Бухара,Сегодня в 09:41,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-ID3TpIo.html,/app/static/media/no_thumbnail.15f456ec5.svg
63587780,ЖК Skyline 3х комн 104м2 ‼️Ул. Нукусская,2280590400,UZS,"Ташкент, Мирабадский район",Сегодня в 09:41,https://www.olx.uz/d/obyavlenie/zhk-skyline-3h-komn-104m2-ul-nukusskaya-ID4iO5m.html,/app/static/media/no_thumbnail.15f456ec5.svg
61361636,"3 хоналик квартира 4 кават 6 микр, алпомиш, бон-бон",497362800,UZS,Бухара,Сегодня в 09:41,https://www.olx.uz/d/obyavlenie/3-honalik-kvartira-4-kavat-6-mikr-alpomish-bon-bon-ID49sXO.html,/app/static/media/no_thumbnail.15f456ec5.svg
63587777,Сдаётся квартира в аренду. Самарканд Смарт Сити,3639240,UZS,Самарканд,Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-v-arendu-samarkand-smart-siti-ID4iO5j.html,/app/static/media/no_thumbnail.15f456ec5.svg
61504288,2 хонали 6 метр балконли квартира,435495720,UZS,Бухара,Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/2-honali-6-metr-balkonli-kvartira-ID4a44E.html,/app/static/media/no_thumbnail.15f456ec5.svg
63037013,"3 хоналик (2+1) дуплекс квартира 1 кават, шарк 2, пед колледж",873417600,UZS,Бухара,Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/3-honalik-2-1-dupleks-kvartira-1-kavat-shark-2-ped-kolledzh-ID4guO1.html,/app/static/media/no_thumbnail.15f456ec5.svg
56644775,Сдается помещении на дружбе,12130800,UZS,"Ташкент, Шайхантахурский район",07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/sdaetsya-pomeschenii-na-druzhbe-ID3PFTp.html,/app/static/media/no_thumbnail.15f456ec5.svg
62140467,"Продается дом, новостройка",1188818400,UZS,"Ташкент, Алмазарский район",06 марта 2026 г.,https://www.olx.uz/d/obyavlenie/prodaetsya-dom-novostroyka-ID4cJzB.html,/app/static/media/no_thumbnail.15f456ec5.svg
61911941,1.5 Гектар земли + строение,36392400,UZS,Чирчик,07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/1-5-gektar-zemli-stroenie-ID4bM7H.html,/app/static/media/no_thumbnail.15f456ec5.svg
63490988,Продается 2-х комнатная квартира. IT-park,715717200,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/prodaetsya-2-h-komnatnaya-kvartira-it-park-ID4ioUc.html,/app/static/media/no_thumbnail.15f456ec5.svg
63490987,Novza metro 36 m2 ofes ijaraga beriladi,4852320,UZS,"Ташкент, Чиланзарский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/novza-metro-36-m2-ofes-ijaraga-beriladi-ID4ioUb.html,/app/static/media/no_thumbnail.15f456ec5.svg
63542509,Магазин бутик женской одежды,400316400,UZS,Эшангузар,Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/magazin-butik-zhenskoy-odezhdy-ID4iCjb.html,/app/static/media/no_thumbnail.15f456ec5.svg
63787084,Аренда квартир без посредников,7278480,UZS,"Ташкент, Сергелийский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/arenda-kvartir-bez-posrednikov-ID4jDWV.html,/app/static/media/no_thumbnail.15f456ec5.svg
63587760,Юнусабад 6 кварталда 2'3 хона уй ижарага берилади,4852320,UZS,"Ташкент, Шайхантахурский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/yunusabad-6-kvartalda-23-hona-uy-izharaga-beriladi-ID4iO52.html,/app/static/media/no_thumbnail.15f456ec5.svg
63057173,"Уч тепа район Г9А орентир: Гурман бургер 3/1/4 Кирпич, ЕВРО ремонт",1073575800,UZS,"Ташкент, Учтепинский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/uch-tepa-rayon-g9a-orentir-gurman-burger-3-1-4-kirpich-evro-remont-ID4gA3b.html,/app/static/media/no_thumbnail.15f456ec5.svg
63688361,Срочно продаётся квартира ЖК NRJ JOMIY Безнес класс дом,1152426000,UZS,"Ташкент, Алмазарский район",Сегодня в 09:40,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-kvartira-zhk-nrj-jomiy-beznes-klass-dom-ID4jefD.html,/app/static/media/no_thumbnail.15f456ec5.svg
