year,disease_category,metric_type,value,level,is_aggregate
1990,All diseases,absolute_cases,1731754,0,True
1990,Blood and blood-forming organ diseases and immune disorders,absolute_cases,12021,1,False
1990,Circulatory system diseases,absolute_cases,64306,1,False
1990,Clinical and laboratory abnormalities,absolute_cases,13000,1,False
1990,Congenital anomalies,absolute_cases,3042,1,False
1990,Digestive system diseases,absolute_cases,85114,1,False
1990,Ear and mastoid process diseases,absolute_cases,...,1,False
1990,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,25159,1,False
1990,Eye and adnexa diseases,absolute_cases,...,1,False
1990,Genitourinary system diseases,absolute_cases,44841,1,False
1990,Infectious and parasitic diseases,absolute_cases,214837,1,False
1990,"Injuries, poisoning and external causes",absolute_cases,238229,1,False
1990,Mental and behavioral disorders,absolute_cases,11847,1,False
1990,Musculoskeletal system and connective tissue diseases,absolute_cases,20810,1,False
1990,Neoplasms,absolute_cases,7765,1,False
1990,Nervous system diseases,absolute_cases,98340,1,False
1990,Perinatal period conditions,absolute_cases,5526,1,False
1990,"Pregnancy, childbirth and puerperium",absolute_cases,12527,1,False
1990,Respiratory system diseases,absolute_cases,806722,1,False
1990,Skin and subcutaneous tissue diseases,absolute_cases,67668,1,False
1990,All diseases,rate_per_10000,2454.5781834675136,0,True
1990,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,17.03849642816646,1,False
1990,Circulatory system diseases,rate_per_10000,91.14695543712439,1,False
1990,Clinical and laboratory abnormalities,rate_per_10000,18.53991072319913,1,False
1990,Congenital anomalies,rate_per_10000,4.338339109228597,1,False
1990,Digestive system diseases,rate_per_10000,120.64009524889443,1,False
1990,Ear and mastoid process diseases,rate_per_10000,...,1,False
1990,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,35.66022224742034,1,False
1990,Eye and adnexa diseases,rate_per_10000,...,1,False
1990,Genitourinary system diseases,rate_per_10000,63.55737611974147,1,False
1990,Infectious and parasitic diseases,rate_per_10000,304.5087311486563,1,False
1990,"Injuries, poisoning and external causes",rate_per_10000,339.7495685905389,1,False
1990,Mental and behavioral disorders,rate_per_10000,16.791869826510943,1,False
1990,Musculoskeletal system and connective tissue diseases,rate_per_10000,29.49597460029482,1,False
1990,Neoplasms,rate_per_10000,11.00606644744302,1,False
1990,Nervous system diseases,rate_per_10000,139.38655176323846,1,False
1990,Perinatal period conditions,rate_per_10000,301.98536524053355,1,False
1990,"Pregnancy, childbirth and puerperium",rate_per_10000,68.23356391960345,1,False
1990,Respiratory system diseases,rate_per_10000,1143.443134142193,1,False
1990,Skin and subcutaneous tissue diseases,rate_per_10000,95.91223494727294,1,False
1991,All diseases,absolute_cases,1898080,0,True
1991,Blood and blood-forming organ diseases and immune disorders,absolute_cases,16316,1,False
1991,Circulatory system diseases,absolute_cases,79572,1,False
1991,Clinical and laboratory abnormalities,absolute_cases,13414,1,False
1991,Congenital anomalies,absolute_cases,2608,1,False
1991,Digestive system diseases,absolute_cases,115595,1,False
1991,Ear and mastoid process diseases,absolute_cases,...,1,False
1991,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,31115,1,False
1991,Eye and adnexa diseases,absolute_cases,...,1,False
1991,Genitourinary system diseases,absolute_cases,55438,1,False
1991,Infectious and parasitic diseases,absolute_cases,205153,1,False
1991,"Injuries, poisoning and external causes",absolute_cases,244996,1,False
1991,Mental and behavioral disorders,absolute_cases,13024,1,False
1991,Musculoskeletal system and connective tissue diseases,absolute_cases,26113,1,False
1991,Neoplasms,absolute_cases,7270,1,False
1991,Nervous system diseases,absolute_cases,121182,1,False
1991,Perinatal period conditions,absolute_cases,11257,1,False
1991,"Pregnancy, childbirth and puerperium",absolute_cases,14923,1,False
1991,Respiratory system diseases,absolute_cases,865455,1,False
1991,Skin and subcutaneous tissue diseases,absolute_cases,74649,1,False
1991,All diseases,rate_per_10000,2654.137651368963,0,True
1991,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,22.815113124702858,1,False
1991,Circulatory system diseases,rate_per_10000,111.26772380233241,1,False
1991,Clinical and laboratory abnormalities,rate_per_10000,18.757166428950974,1,False
1991,Congenital anomalies,rate_per_10000,3.64683838129597,1,False
1991,Digestive system diseases,rate_per_10000,161.639678943983,1,False
1991,Ear and mastoid process diseases,rate_per_10000,...,1,False
1991,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,43.508963279917225,1,False
1991,Eye and adnexa diseases,rate_per_10000,...,1,False
1991,Genitourinary system diseases,rate_per_10000,77.52048549934278,1,False
1991,Infectious and parasitic diseases,rate_per_10000,286.87110216181446,1,False
1991,"Injuries, poisoning and external causes",rate_per_10000,342.58466873619153,1,False
1991,Mental and behavioral disorders,rate_per_10000,18.21181866487681,1,False
1991,Musculoskeletal system and connective tissue diseases,rate_per_10000,36.514528623765976,1,False
1991,Neoplasms,rate_per_10000,10.165841653382556,1,False
1991,Nervous system diseases,rate_per_10000,169.4521352462455,1,False
1991,Perinatal period conditions,rate_per_10000,591.3749717629877,1,False
1991,"Pregnancy, childbirth and puerperium",rate_per_10000,80.5690530180326,1,False
1991,Respiratory system diseases,rate_per_10000,1210.1896132225856,1,False
1991,Skin and subcutaneous tissue diseases,rate_per_10000,104.3837570265962,1,False
1992,All diseases,absolute_cases,1586139,0,True
1992,Blood and blood-forming organ diseases and immune disorders,absolute_cases,18694,1,False
1992,Circulatory system diseases,absolute_cases,68199,1,False
1992,Clinical and laboratory abnormalities,absolute_cases,13951,1,False
1992,Congenital anomalies,absolute_cases,2739,1,False
1992,Digestive system diseases,absolute_cases,97427,1,False
1992,Ear and mastoid process diseases,absolute_cases,...,1,False
1992,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,28039,1,False
1992,Eye and adnexa diseases,absolute_cases,...,1,False
1992,Genitourinary system diseases,absolute_cases,52894,1,False
1992,Infectious and parasitic diseases,absolute_cases,179050,1,False
1992,"Injuries, poisoning and external causes",absolute_cases,236955,1,False
1992,Mental and behavioral disorders,absolute_cases,12502,1,False
1992,Musculoskeletal system and connective tissue diseases,absolute_cases,16844,1,False
1992,Neoplasms,absolute_cases,7231,1,False
1992,Nervous system diseases,absolute_cases,123827,1,False
1992,Perinatal period conditions,absolute_cases,8215,1,False
1992,"Pregnancy, childbirth and puerperium",absolute_cases,16967,1,False
1992,Respiratory system diseases,absolute_cases,638264,1,False
1992,Skin and subcutaneous tissue diseases,absolute_cases,64341,1,False
1992,All diseases,rate_per_10000,2184.132688891643,0,True
1992,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,25.741865300670607,1,False
1992,Circulatory system diseases,rate_per_10000,93.9108522328252,1,False
1992,Clinical and laboratory abnormalities,rate_per_10000,19.21069663045125,1,False
1992,Congenital anomalies,rate_per_10000,3.77163630354856,1,False
1992,Digestive system diseases,rate_per_10000,134.15816361658472,1,False
1992,Ear and mastoid process diseases,rate_per_10000,...,1,False
1992,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,38.61004392668787,1,False
1992,Eye and adnexa diseases,rate_per_10000,...,1,False
1992,Genitourinary system diseases,rate_per_10000,72.83568113906446,1,False
1992,Infectious and parasitic diseases,rate_per_10000,246.55402707205906,1,False
1992,"Injuries, poisoning and external causes",rate_per_10000,326.28991613995953,1,False
1992,Mental and behavioral disorders,rate_per_10000,17.215406012035086,1,False
1992,Musculoskeletal system and connective tissue diseases,rate_per_10000,23.194392806488484,1,False
1992,Neoplasms,rate_per_10000,9.957174921854559,1,False
1992,Nervous system diseases,rate_per_10000,170.51128461464313,1,False
1992,Perinatal period conditions,rate_per_10000,452.95648530028006,1,False
1992,"Pregnancy, childbirth and puerperium",rate_per_10000,90.21640878396342,1,False
1992,Respiratory system diseases,rate_per_10000,878.8972886630589,1,False
1992,Skin and subcutaneous tissue diseases,rate_per_10000,88.59833932333623,1,False
1993,All diseases,absolute_cases,1770335,0,True
1993,Blood and blood-forming organ diseases and immune disorders,absolute_cases,19681,1,False
1993,Circulatory system diseases,absolute_cases,75501,1,False
1993,Clinical and laboratory abnormalities,absolute_cases,13175,1,False
1993,Congenital anomalies,absolute_cases,2349,1,False
1993,Digestive system diseases,absolute_cases,91724,1,False
1993,Ear and mastoid process diseases,absolute_cases,...,1,False
1993,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,27278,1,False
1993,Eye and adnexa diseases,absolute_cases,...,1,False
1993,Genitourinary system diseases,absolute_cases,51000,1,False
1993,Infectious and parasitic diseases,absolute_cases,185780,1,False
1993,"Injuries, poisoning and external causes",absolute_cases,218368,1,False
1993,Mental and behavioral disorders,absolute_cases,12407,1,False
1993,Musculoskeletal system and connective tissue diseases,absolute_cases,19724,1,False
1993,Neoplasms,absolute_cases,6809,1,False
1993,Nervous system diseases,absolute_cases,127334,1,False
1993,Perinatal period conditions,absolute_cases,8781,1,False
1993,"Pregnancy, childbirth and puerperium",absolute_cases,14613,1,False
1993,Respiratory system diseases,absolute_cases,828042,1,False
1993,Skin and subcutaneous tissue diseases,absolute_cases,67769,1,False
1993,All diseases,rate_per_10000,2400.51933611759,0,True
1993,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,26.686825405434725,1,False
1993,Circulatory system diseases,rate_per_10000,102.37701361392851,1,False
1993,Clinical and laboratory abnormalities,rate_per_10000,17.86489125128817,1,False
1993,Congenital anomalies,rate_per_10000,3.1851711232846993,1,False
1993,Digestive system diseases,rate_per_10000,124.37489830232684,1,False
1993,Ear and mastoid process diseases,rate_per_10000,...,1,False
1993,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,36.988121711775236,1,False
1993,Eye and adnexa diseases,rate_per_10000,...,1,False
1993,Genitourinary system diseases,rate_per_10000,69.15441774692195,1,False
1993,Infectious and parasitic diseases,rate_per_10000,251.9119162553561,1,False
1993,"Injuries, poisoning and external causes",rate_per_10000,296.1002332266638,1,False
1993,Mental and behavioral disorders,rate_per_10000,16.823507078158052,1,False
1993,Musculoskeletal system and connective tissue diseases,rate_per_10000,26.745132071378208,1,False
1993,Neoplasms,rate_per_10000,9.232792753701794,1,False
1993,Nervous system diseases,rate_per_10000,172.66095351738352,1,False
1993,Perinatal period conditions,rate_per_10000,502.86912002199085,1,False
1993,"Pregnancy, childbirth and puerperium",rate_per_10000,76.39985361007999,1,False
1993,Respiratory system diseases,rate_per_10000,1122.7992623528773,1,False
1993,Skin and subcutaneous tissue diseases,rate_per_10000,91.89266149590497,1,False
1994,All diseases,absolute_cases,1576378,0,True
1994,Blood and blood-forming organ diseases and immune disorders,absolute_cases,17999,1,False
1994,Circulatory system diseases,absolute_cases,71432,1,False
1994,Clinical and laboratory abnormalities,absolute_cases,13963,1,False
1994,Congenital anomalies,absolute_cases,1860,1,False
1994,Digestive system diseases,absolute_cases,92586,1,False
1994,Ear and mastoid process diseases,absolute_cases,...,1,False
1994,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,27731,1,False
1994,Eye and adnexa diseases,absolute_cases,...,1,False
1994,Genitourinary system diseases,absolute_cases,51056,1,False
1994,Infectious and parasitic diseases,absolute_cases,152993,1,False
1994,"Injuries, poisoning and external causes",absolute_cases,210813,1,False
1994,Mental and behavioral disorders,absolute_cases,10619,1,False
1994,Musculoskeletal system and connective tissue diseases,absolute_cases,14810,1,False
1994,Neoplasms,absolute_cases,7363,1,False
1994,Nervous system diseases,absolute_cases,128542,1,False
1994,Perinatal period conditions,absolute_cases,8882,1,False
1994,"Pregnancy, childbirth and puerperium",absolute_cases,16516,1,False
1994,Respiratory system diseases,absolute_cases,681681,1,False
1994,Skin and subcutaneous tissue diseases,absolute_cases,67532,1,False
1994,All diseases,rate_per_10000,2108.415589974052,0,True
1994,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,24.073776850440037,1,False
1994,Circulatory system diseases,rate_per_10000,95.54075381858064,1,False
1994,Clinical and laboratory abnormalities,rate_per_10000,18.675601209105743,1,False
1994,Congenital anomalies,rate_per_10000,2.48776181686863,1,False
1994,Digestive system diseases,rate_per_10000,123.83436321322527,1,False
1994,Ear and mastoid process diseases,rate_per_10000,...,1,False
1994,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,37.090388679346226,1,False
1994,Eye and adnexa diseases,rate_per_10000,...,1,False
1994,Genitourinary system diseases,rate_per_10000,68.28772436669074,1,False
1994,Infectious and parasitic diseases,rate_per_10000,204.62910948827007,1,False
1994,"Injuries, poisoning and external causes",rate_per_10000,281.96372682770243,1,False
1994,Mental and behavioral disorders,rate_per_10000,14.20297996415483,1,False
1994,Musculoskeletal system and connective tissue diseases,rate_per_10000,19.80846909022818,1,False
1994,Neoplasms,rate_per_10000,9.848059278281573,1,False
1994,Nervous system diseases,rate_per_10000,171.92574164727282,1,False
1994,Perinatal period conditions,rate_per_10000,555.9554584660837,1,False
